prop_price,prop_title,prop_location,prop_size
"255,000 OMR",Industrial Land for Sale in Dhofar Salala,"Dhofar, Salala",Industrial Land for Sale in Dhofar Salala
"75,000 OMR",313 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",313 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
"51,000 OMR",331 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Nakhl,"Al Batinah, Nakhl",331 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Nakhl
"4,500 OMR","READY BUSINESS FOR SALE – SUR SUQ, OMAN   Running Sports & Fashion Wear Shop  All Setup +","Al Sharqiya, Sur","READY BUSINESS FOR SALE – SUR SUQ, OMAN   Running Sports & Fashion Wear Shop  All Setup +"
"11,800 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"5,300 OMR",Residential Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Residential Land for Sale in Al Dhahirah Ibri
"230,000 OMR",Residential Land for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",Residential Land for Sale in Muscat Madinat As Sultan Qaboos
"430,000 OMR",Residential Land for Sale in Muscat Qurm,"Muscat, Qurm",Residential Land for Sale in Muscat Qurm
"55,000 OMR",Residential Land for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",Residential Land for Sale in Muscat Al Mawaleh
"4,300 OMR",Residential Land for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",Residential Land for Sale in Al Sharqiya Ibra
"80,900 OMR",Farm Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Farm Land for Sale in Al Batinah Sohar
"11,900 OMR",Industrial Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Industrial Land for Sale in Al Batinah Sohar
"17,000 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"13,900 OMR",Residential Land for Sale in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",Residential Land for Sale in Al Dakhiliya Bidbid
"13,000 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"55,000 OMR",260 m2 2 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",260 m2 2 Bedrooms Townhouse for Sale in Muscat Al Maabilah
"30,000 OMR",101 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",101 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah
"25,500 OMR",101 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",101 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"18,000 OMR",Mixed Use Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Mixed Use Land for Sale in Al Batinah Suwaiq
"125,000 OMR",Building for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Building for Sale in Al Dhahirah Ibri
"12,000 OMR",مكتب سند للبيع في ولاية لوى,"Al Batinah, Liwa",مكتب سند للبيع في ولاية لوى
"18,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"330,000 OMR",Farm Land for Sale in Dhofar Salala,"Dhofar, Salala",Farm Land for Sale in Dhofar Salala
"14,900 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"56,000 OMR",324 m2 5 Bedrooms Villa for Sale in Dhofar Salala,"Dhofar, Salala",324 m2 5 Bedrooms Villa for Sale in Dhofar Salala
"195,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"45,000 OMR",270 m2 4 Bedrooms Townhouse for Sale in Al Batinah Saham,"Al Batinah, Saham",270 m2 4 Bedrooms Townhouse for Sale in Al Batinah Saham
"43,000 OMR",235 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Al Kamil and Al Waafi,"Al Sharqiya, Al Kamil and Al Waafi",235 m2 4 Bedrooms Townhouse for Sale in Al Sharqiya Al Kamil and Al Waafi
"1,650 OMR",كرفان ،عربة طعام (شوي المشاكيك) رقم التواصل في الوصف,"Muscat, Seeb",كرفان ،عربة طعام (شوي المشاكيك) رقم التواصل في الوصف
"16,500 OMR",130 m2 2 Bedrooms Townhouse for Sale in Al Wustaa Mahut,"Al Wustaa, Mahut",130 m2 2 Bedrooms Townhouse for Sale in Al Wustaa Mahut
"61,000 OMR",Building for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Building for Sale in Buraimi Al Buraimi
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"54,000 OMR",363 m2 5 Bedrooms Villa for Sale in Dhofar Salala,"Dhofar, Salala",363 m2 5 Bedrooms Villa for Sale in Dhofar Salala
"8,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"119,380 OMR",5 Bedrooms Farms for Sale in Al Batinah Barka,"Al Batinah, Barka",5 Bedrooms Farms for Sale in Al Batinah Barka
"125,000 OMR",420 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",420 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh
"30,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"85,000 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"118,000 OMR",405 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",405 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"38,000 OMR",140 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",140 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"133,000 OMR",350 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,"Muscat, Bosher",350 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher
"50,000 OMR",187 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",187 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Sumail
"65,000 OMR",360 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",360 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"2,200 OMR",Coffee shop for immediate sale,"Muscat, Al Maabilah",Coffee shop for immediate sale
"69,000 OMR",313 m2 5 Bedrooms Villa for Sale in Muscat Halban,"Muscat, Halban",313 m2 5 Bedrooms Villa for Sale in Muscat Halban
"20,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"6,200 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"6,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"17,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"999,999 OMR",Farm Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Farm Land for Sale in Al Batinah Saham
"20,500 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"28,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"15,000 OMR",Residential Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Residential Land for Sale in Muscat Quriyat
"1,000 OMR",كرفان جاهز للبيع ف صلالة,"Dhofar, Salala",كرفان جاهز للبيع ف صلالة
"30,900 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"2,300 OMR",Residential Land for Sale in Al Wustaa Al Jazur,"Al Wustaa, Al Jazur",Residential Land for Sale in Al Wustaa Al Jazur
"80,000 OMR",218 m2 4 Bedrooms Villa for Sale in Muscat Al-Hail,"Muscat, Al-Hail",218 m2 4 Bedrooms Villa for Sale in Muscat Al-Hail
"46,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"20,000 OMR",Commercial Land for Sale in Al Sharqiya Sinaw,"Al Sharqiya, Sinaw",Commercial Land for Sale in Al Sharqiya Sinaw
"32,000 OMR",71 m2 1 Bedroom Apartments for Sale in Dhofar Taqah,"Dhofar, Taqah",71 m2 1 Bedroom Apartments for Sale in Dhofar Taqah
"60,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"90,000 OMR",200 m2 5 Bedrooms Townhouse for Sale in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",200 m2 5 Bedrooms Townhouse for Sale in Al Dakhiliya Bidbid
"1,000 OMR",500 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al-Hail,"Muscat, Al-Hail",500 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al-Hail
"115,000 OMR",372 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",372 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"52,000 OMR",260 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",260 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Sumail
"20,500 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"6,500 OMR",Garage & Used Spare Parts shop for sale great location,"Muscat, Al Maabilah",Garage & Used Spare Parts shop for sale great location
"180,000 OMR",446 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,"Muscat, Bosher",446 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher
"32,000 OMR",71 m2 1 Bedroom Apartments for Sale in Dhofar Salala,"Dhofar, Salala",71 m2 1 Bedroom Apartments for Sale in Dhofar Salala
"115,000 OMR",368 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",368 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud
"37,000 OMR",217 m2 3 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",217 m2 3 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah
"80,000 OMR",150 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,"Dhofar, Salala",150 m2 2 Bedrooms Apartments for Sale in Dhofar Salala
"50,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"86,000 OMR",4 Bedrooms Farms for Sale in Al Batinah Barka,"Al Batinah, Barka",4 Bedrooms Farms for Sale in Al Batinah Barka
"90,000 OMR",405 m2 5 Bedrooms Townhouse for Sale in Dhofar Salala,"Dhofar, Salala",405 m2 5 Bedrooms Townhouse for Sale in Dhofar Salala
"130,000 OMR",Mixed Use Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Mixed Use Land for Sale in Al Batinah Sohar
"129,000 OMR",Residential Land for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",Residential Land for Sale in Muscat Al Mawaleh
"16,500 OMR",Residential Land for Sale in Dhofar Taqah,"Dhofar, Taqah",Residential Land for Sale in Dhofar Taqah
"110,000 OMR",408 m2 3 Bedrooms Townhouse for Sale in Muscat Bosher,"Muscat, Bosher",408 m2 3 Bedrooms Townhouse for Sale in Muscat Bosher
"85,000 OMR",Mixed Use Land for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",Mixed Use Land for Sale in Al Dakhiliya Nizwa
"5,000 OMR",بيع صالون  للجادين فقط,"Muscat, Wadi Al Kabir",بيع صالون  للجادين فقط
"20,000 OMR",Commercial Land for Sale in Al Batinah Al 'Awabi,"Al Batinah, Al 'Awabi",Commercial Land for Sale in Al Batinah Al 'Awabi
"100,000 OMR",90 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",90 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"59,000 OMR",287 m2 4 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",287 m2 4 Bedrooms Villa for Sale in Al Batinah Barka
"55,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"50,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"39,000 OMR",161 m2 2 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",161 m2 2 Bedrooms Villa for Sale in Al Batinah Barka
"62,500 OMR",269 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",269 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"25,000 OMR",Mixed Use Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Mixed Use Land for Sale in Al Dhahirah Ibri
"20,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"68,000 OMR",Farm Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Farm Land for Sale in Al Batinah Barka
"8,500 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"15,000 OMR",Residential Land for Sale in Al Batinah Liwa,"Al Batinah, Liwa",Residential Land for Sale in Al Batinah Liwa
"198,000 OMR",Luxurious 2-Bedroom Apartment in Al Mouj,"Muscat, Al Mouj",Luxurious 2-Bedroom Apartment in Al Mouj
"15,000 OMR",تم تخفيض السعر مكتبة جاهزة للبيع,"Al Dhahirah, Ibri",تم تخفيض السعر مكتبة جاهزة للبيع
"35,000 OMR",262 m2 3 Bedrooms Townhouse for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",262 m2 3 Bedrooms Townhouse for Sale in Al Dhahirah Ibri
"35,500 OMR",74 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"Muscat, Bosher",74 m2 1 Bedroom Apartments for Sale in Muscat Bosher
"165,000 OMR",456 m2 5 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",456 m2 5 Bedrooms Townhouse for Sale in Muscat Al Maabilah
"34,000 OMR",Residential Land for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",Residential Land for Sale in Al Batinah Rustaq
"9,000 OMR",جراج للبيع في المعبيلة الصناعية شارع رقم 2,"Muscat, Al Maabilah",جراج للبيع في المعبيلة الصناعية شارع رقم 2
"26,000 OMR",86 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",86 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud
"120,000 OMR",457 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",457 m2 5 Bedrooms Villa for Sale in Al Batinah Barka
"74,000 OMR",Farm Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Farm Land for Sale in Al Batinah Barka
"15,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"69,000 OMR",Mixed Use Land for Sale in Muscat Amerat,"Muscat, Amerat",Mixed Use Land for Sale in Muscat Amerat
"65,000 OMR",Commercial Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Commercial Land for Sale in Al Dakhiliya Sumail
"68,000 OMR",312 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",312 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah
"14,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"1,000 OMR",All types of Warehouse available,"Muscat, Ghala",All types of Warehouse available
"19,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"8,700 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"8,700 OMR",Residential Land for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Residential Land for Sale in Buraimi Al Buraimi
"50,000 OMR",340 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Manah,"Al Dakhiliya, Manah",340 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Manah
"13,000 OMR",90 m2 2 Bedrooms Townhouse for Sale in Al Batinah Saham,"Al Batinah, Saham",90 m2 2 Bedrooms Townhouse for Sale in Al Batinah Saham
"22,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"80,000 OMR",Commercial Land for Sale in Muscat Halban,"Muscat, Halban",Commercial Land for Sale in Muscat Halban
"90,000 OMR",Industrial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Industrial Land for Sale in Al Batinah Barka
"450,000 OMR",Commercial Land for Sale in Muscat Bosher,"Muscat, Bosher",Commercial Land for Sale in Muscat Bosher
"20,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"112,000 OMR",372 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",372 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud
"650,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"112,000 OMR",372 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,"Muscat, Al-Hail",372 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail
"165,000 OMR",Farm Land for Sale in Muscat Seeb,"Muscat, Seeb",Farm Land for Sale in Muscat Seeb
"75,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"28,500 OMR",Commercial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Commercial Land for Sale in Al Batinah Barka
"12,500 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"27,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"19,500 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"66,000 OMR",350 m2 5 Bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",350 m2 5 Bedrooms Villa for Sale in Muscat Seeb
"30,500 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"14,000 OMR",Residential Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Residential Land for Sale in Al Dhahirah Ibri
"12,800 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"14,900 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"160,000 OMR",Residential Land for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",Residential Land for Sale in Muscat Madinat As Sultan Qaboos
"8,200 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"149,000 OMR",One bed room see view off plan in gulf link al mouj,"Muscat, Al Mouj",One bed room see view off plan in gulf link al mouj
"15,392 OMR",ولأول مرة أقوى العروض الاستثمارية تملك محلك التجاري في أقوى سوق على اول خط رئيسي في ولاية بركاء,"Muscat, Al Khoud",ولأول مرة أقوى العروض الاستثمارية تملك محلك التجاري في أقوى سوق على اول خط رئيسي في ولاية بركاء
"31,500 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"36,356 OMR",حصرياً لا تفوت الفرصة الذهبية واستثمر في أقوى سوق تجاري في ولاية بركاء على الشارع العام مباشر,"Muscat, Al Khuwair",حصرياً لا تفوت الفرصة الذهبية واستثمر في أقوى سوق تجاري في ولاية بركاء على الشارع العام مباشر
"20,601 OMR",واخيراً أنتهز الفرصة الذهبية وتملك محلك التجاري على اول خط رئيسي من شارع السلطان قابوس في ولاية بركا,"Muscat, Azaiba",واخيراً أنتهز الفرصة الذهبية وتملك محلك التجاري على اول خط رئيسي من شارع السلطان قابوس في ولاية بركا
"48,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"29,406 OMR",أقوى الفرص الاستثمارية تملك محلك مع محمد الرواحي في أفخم سوق تجاري في ولاية بركاء وبخطة سداد مريحه,"Muscat, Ghubrah",أقوى الفرص الاستثمارية تملك محلك مع محمد الرواحي في أفخم سوق تجاري في ولاية بركاء وبخطة سداد مريحه
"601,000 OMR","Premium 5-Bedroom Luxury Villa in Golf Links, Almouj with access to golf link facilities and hotel","Muscat, Al Mouj","Premium 5-Bedroom Luxury Villa in Golf Links, Almouj with access to golf link facilities and hotel"
"26,000 OMR",Farm Land for Sale in Al Dhahirah Dhank,"Al Dhahirah, Dhank",Farm Land for Sale in Al Dhahirah Dhank
"8,000 OMR",Residential Land for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Residential Land for Sale in Buraimi Al Buraimi
"9,500 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"155,000 OMR",A2 Gl2  one bedroom apartment in Gulf link  Ready in 2 years,"Muscat, Al Mouj",A2 Gl2  one bedroom apartment in Gulf link  Ready in 2 years
"1,800,000 OMR",Mixed Use Land for Sale in Muscat Bosher,"Muscat, Bosher",Mixed Use Land for Sale in Muscat Bosher
"900,000 OMR",Mixed Use Land for Sale in Muscat Bosher,"Muscat, Bosher",Mixed Use Land for Sale in Muscat Bosher
"95,000 OMR",277 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",277 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah
"32,800 OMR",71800 m2 1 Bedroom Apartments for Sale in Muscat Seeb,"Muscat, Seeb",71800 m2 1 Bedroom Apartments for Sale in Muscat Seeb
"32,800 OMR",71800 m2 1 Bedroom Apartments for Sale in Muscat Qurm,"Muscat, Qurm",71800 m2 1 Bedroom Apartments for Sale in Muscat Qurm
"32,800 OMR",71800 m2 1 Bedroom Apartments for Sale in Muscat Ghubrah,"Muscat, Ghubrah",71800 m2 1 Bedroom Apartments for Sale in Muscat Ghubrah
"32,800 OMR",71800 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"Muscat, Bosher",71800 m2 1 Bedroom Apartments for Sale in Muscat Bosher
"65,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"17,316 OMR",أحجز محلك التجاري مع محمد الرواحي في أفخم وأكبر سوق تجاري في ولاية بركاء على اول خط رئيسي,"Muscat, Bosher",أحجز محلك التجاري مع محمد الرواحي في أفخم وأكبر سوق تجاري في ولاية بركاء على اول خط رئيسي
"11,115 OMR",أنتهز الفرصة الذهبية مع محمد الرواحي وتملك محلك التجاري في أقوى سوق تجاري في ولاية بركاء ب11 الف,"Al Batinah, Barka",أنتهز الفرصة الذهبية مع محمد الرواحي وتملك محلك التجاري في أقوى سوق تجاري في ولاية بركاء ب11 الف
"68,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"40,000 OMR",Residential Land for Sale in Al Batinah Wadi Al Ma'awal,"Al Batinah, Wadi Al Ma'awal",Residential Land for Sale in Al Batinah Wadi Al Ma'awal
"77,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"23,000 OMR",Residential Land for Sale in Muscat Ansab,"Muscat, Ansab",Residential Land for Sale in Muscat Ansab
"15,500 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"30,000 OMR",Residential Land for Sale in Al Wustaa Al Duqum,"Al Wustaa, Al Duqum",Residential Land for Sale in Al Wustaa Al Duqum
"11,800 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"14,000 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"15,000 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"18,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"50,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"50,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"200,000 OMR",713 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",713 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
"28,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"34,000 OMR",Farm Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Farm Land for Sale in Al Dhahirah Ibri
"73,000 OMR",270 m2 5 Bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",270 m2 5 Bedrooms Villa for Sale in Muscat Seeb
"560,000 OMR",422 m2 5 Bedrooms Villa for Sale in Muscat Barr al Jissah,"Muscat, Barr al Jissah",422 m2 5 Bedrooms Villa for Sale in Muscat Barr al Jissah
"185,000 OMR",Residential Land for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",Residential Land for Sale in Muscat Al Khuwair
"25,000 OMR",85 m2 2 Bedrooms Apartments for Sale in Muscat Seeb,"Muscat, Seeb",85 m2 2 Bedrooms Apartments for Sale in Muscat Seeb
"90,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"53,000 OMR",250 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka,"Al Batinah, Barka",250 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka
"14,000 OMR",Residential Land for Sale in Al Sharqiya Bidiya,"Al Sharqiya, Bidiya",Residential Land for Sale in Al Sharqiya Bidiya
"24,000 OMR",100 m2 2 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",100 m2 2 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah
"25,000 OMR",Commercial Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Commercial Land for Sale in Al Batinah Sohar
