prop_price,prop_title,prop_location,prop_size
"39,750 OMR",بالاقساط علي 9 سنوات تملك محلك في أول مول في مسقط هيلز بدون فوائد!!!,"Muscat, Muscat Hills",بالاقساط علي 9 سنوات تملك محلك في أول مول في مسقط هيلز بدون فوائد!!!
"29,500 OMR",59 m2 1 Bedroom Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",59 m2 1 Bedroom Apartments for Sale in Muscat Azaiba
"99,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"22,500 OMR",فرصة استثمارية مكاتب ومحلات باقساط ممدده لمدة 10 سنوات وبموقع مميز في قلب بوشر!!!!,"Muscat, Bosher",فرصة استثمارية مكاتب ومحلات باقساط ممدده لمدة 10 سنوات وبموقع مميز في قلب بوشر!!!!
"57,500 OMR",218 m2 4 Bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",218 m2 4 Bedrooms Villa for Sale in Muscat Seeb
"145,000 OMR",Residential Land for Sale in Muscat Al-Hail,"Muscat, Al-Hail",Residential Land for Sale in Muscat Al-Hail
"60,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"100,000 OMR","2-Bedroom Apartment with Stunning Sea Views – The Great Escape Building, AIDA","Muscat, Yiti","2-Bedroom Apartment with Stunning Sea Views – The Great Escape Building, AIDA"
"20,000 OMR",محل للبيع في منطقة الأمين بأقساط شهرية,"Muscat, Bosher",محل للبيع في منطقة الأمين بأقساط شهرية
"32,800 OMR",71 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"Muscat, Bosher",71 m2 1 Bedroom Apartments for Sale in Muscat Bosher
"15,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"244,000 OMR",Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,"Dhofar, Salala",Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah
"33,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"32,800 OMR",71 m2 1 Bedroom Apartments for Sale in Dhofar Salala,"Dhofar, Salala",71 m2 1 Bedroom Apartments for Sale in Dhofar Salala
"82,000 OMR",353 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",353 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
