prop_price,prop_title,prop_location,prop_size,number_room
"68,590",Apartment,"Al Maabilah, Muscat",138 Sq. M.,3
"44,500",Apartment,"Ghala, Muscat",95 Sq. M.,2
"35,500",Villa,"Barka, Al Batinah",600 Sq. M.,2
"68,032",Apartment,"Al Seeb, Muscat",96 Sq. M.,1
"5,500",Residential Land,"Nizwa, Al Dakhiliya",600 Sq. M.,not available
"146,500",Apartment,"The Wave (Almouj), Muscat",125 Sq. M.,2
"80,000",Apartment,"Qurum, Muscat",137 Sq. M.,2
"63,000",Apartment,"Muscat Hills, Muscat",74 Sq. M.,1
"1,360,000",Villa,"Al Mawaleh, Muscat",933 Sq. M.,6
"52,000",Villa,"Al Amarat, Muscat",399 Sq. M.,3
"59,016",Apartment,"Al Seeb, Muscat",83 Sq. M.,1
"19,000",Residential Land,"Ruwi, Muscat",147 Sq. M.,not available
"44,000",Villa,"Al Amarat, Muscat",208 Sq. M.,4
"65,000",Villa,"Barka, Al Batinah",233 Sq. M.,5
"63,000",Apartment,"Muscat Hills, Muscat",78 Sq. M.,1
"1,500,000",Villa,"The Wave (Almouj), Muscat",907 Sq. M.,6
"90,000",Villa,"Al Maabilah, Muscat",600 Sq. M.,3
"37,000",Apartment,"Al Maabilah, Muscat",136 Sq. M.,2
"920,000",Apartment,"The Wave (Almouj), Muscat",421 Sq. M.,4
"38,000",Apartment,"Ghala, Muscat",68 Sq. M.,1
"245,000",Apartment,"The Wave (Almouj), Muscat",126 Sq. M.,2
"3,650",Residential Land,"Al Amarat, Muscat",600 Sq. M.,not available
"89,000",Apartment,"The Wave (Almouj), Muscat",104 Sq. M.,1
"45,000",Apartment,"Al Hail, Muscat",130 Sq. M.,2
"240,000",Villa,"Bosher, Muscat",404 Sq. M.,5
"716,000",Villa,"Yiti, Muscat",166 Sq. M.,3
"45,000",Apartment,"Salalah, Dhofar",55 Sq. M.,not available
"154,900",Villa,"Al Maabilah, Muscat",400 Sq. M.,5
"227,100",Villa,"Al Maabilah, Muscat",400 Sq. M.,5
"203,300",Villa,"Al Maabilah, Muscat",500 Sq. M.,5
"85,000",Apartment,"Muscat Hills, Muscat",135 Sq. M.,2
"15,000",Residential Land,"Azaiba, Muscat",90 Sq. M.,not available
"85,034",Apartment,"Yiti, Muscat",85 Sq. M.,1
"238,000",Villa,"Yiti, Muscat",256 Sq. M.,4
"155,000",Apartment,"Muscat - Other, Muscat",156 Sq. M.,2
"125,000",Apartment,"The Wave (Almouj), Muscat",70 Sq. M.,1
"69,000",Apartment,"Al Hail, Muscat",102 Sq. M.,2
"210,000",Villa,"Al Hail, Muscat",480 Sq. M.,6
"26,500",Apartment,"Al Seeb, Muscat",70 Sq. M.,1
"105,000",Residential Land,"Al Mawaleh, Muscat",690 Sq. M.,not available
"588,000",Villa,"The Wave (Almouj), Muscat",722 Sq. M.,5
"15,000",Residential Land,"Barka, Al Batinah",300 Sq. M.,not available
"205,000",Villa,"The Wave (Almouj), Muscat",175 Sq. M.,4
"117,000",Villa,"Al Khoud, Muscat",328 Sq. M.,4
"25,000",Residential Land,"Shinas, Al Batinah","5,281 Sq. M.",not available
"31,500",Residential Land,"Shinas, Al Batinah","6,956 Sq. M.",not available
"4,500",Residential Land,"Saham, Al Batinah",607 Sq. M.,not available
"335,000",Villa,"Al Sifah, Muscat",344 Sq. M.,4
"47,000",Villa,"Sumail, Al Dakhiliya",260 Sq. M.,4
"36,500",Apartment,"Al Maabilah, Muscat",126 Sq. M.,3
"5,200",Residential Land,"Saham, Al Batinah",600 Sq. M.,not available
"455,000",Villa,"Yiti, Muscat",120 Sq. M.,3
"48,000",Villa,"Sohar, Al Batinah",304 Sq. M.,5
"100,000",Residential Land,"Al Rustaq, Al Batinah","3,180 Sq. M.",not available
"5,950",Residential Land,"Al Masn'a, Al Batinah",600 Sq. M.,not available
"9,300",Residential Land,"Saham, Al Batinah",757 Sq. M.,not available
"23,000",Apartment,"Al Duqum, Al Wusta",35 Sq. M.,1
"49,000",Villa,"Al Rustaq, Al Batinah",293 Sq. M.,4
"130,000",Residential Land,"Al Maabilah, Muscat",500 Sq. M.,not available
"105,000",Villa,"Ansab, Muscat",422 Sq. M.,5
"135,000",Apartment,"The Wave (Almouj), Muscat",138 Sq. M.,3
"85,000",Chalet,"Suwaiq, Al Batinah","10,000 Sq. M.",3
"39,000",Villa,"Al Amarat, Muscat",423 Sq. M.,3
"112,000",Apartment,"Muscat Hills, Muscat",138 Sq. M.,2
"174,650",Villa,"Al Maabilah, Muscat",249 Sq. M.,5
"90,675",Apartment,"Muscat Hills, Muscat",108 Sq. M.,2
"65,000",Apartment,"Muscat Hills, Muscat",85 Sq. M.,1
"165,000",Villa,"Ansab, Muscat",300 Sq. M.,7
"96,122",Apartment,"Yiti, Muscat",68 Sq. M.,1
"45,000",Apartment,"Ghala, Muscat",99 Sq. M.,2
"298,082",Apartment,"Qurum, Muscat",132 Sq. M.,2
"190,000",Villa,"Al Sifah, Muscat",818 Sq. M.,2
"125,000",Apartment,"Salalah, Dhofar",111 Sq. M.,3
"82,000",Villa,"Nizwa, Al Dakhiliya",430 Sq. M.,5
"160,000",Villa,"Salalah, Dhofar",131 Sq. M.,2
"1,000,000",Villa,"Al Buraimi, Al Buraimi","1,500 Sq. M.",10
"94,000",Apartment,"The Wave (Almouj), Muscat",107 Sq. M.,1
"88,000",Villa,"Al Maabilah, Muscat",781 Sq. M.,6
"63,000",Apartment,"Muscat Hills, Muscat",76 Sq. M.,1
"235,000",Villa,"Al Khoud, Muscat",417 Sq. M.,4
"63,000",Apartment,"Muscat Hills, Muscat",95 Sq. M.,1
"178,000",Villa,"Sultan Haitham City, Muscat",249 Sq. M.,5
"112,000",Apartment,"Muscat Hills, Muscat",138 Sq. M.,2
"6,200",Residential Land,"Ibra, Al Sharqiya",600 Sq. M.,not available
"54,000",Apartment,"Bosher, Muscat",116 Sq. M.,3
"90,000",Villa,"Salalah, Dhofar",120 Sq. M.,2
"42,000",Apartment,"Al Maabilah, Muscat",50 Sq. M.,not available
"10,500",Residential Land,"Sumail, Al Dakhiliya",600 Sq. M.,not available
"63,000",Apartment,"Muscat Hills, Muscat",76 Sq. M.,1
"85,000",Apartment,"Muscat Hills, Muscat",95 Sq. M.,1
"27,000",Villa,"Bosher, Muscat",75 Sq. M.,2
"238,891",Villa,"Yiti, Muscat",253 Sq. M.,3
"340,000",Villa,"Sultan Haitham City, Muscat",388 Sq. M.,4
"160,000",Apartment,"The Wave (Almouj), Muscat",200 Sq. M.,2
"9,500",Residential Land,"Ibra, Al Sharqiya",680 Sq. M.,not available
"80,000",Apartment,"Muscat Hills, Muscat",129 Sq. M.,2
"310,000",Villa,"Sultan Haitham City, Muscat",413 Sq. M.,7
"222,240",Apartment,"Al Seeb, Muscat",339 Sq. M.,4
"75,000",Villa,"Al Amarat, Muscat",200 Sq. M.,5
"60,684",Apartment,"Muscat Hills, Muscat",78 Sq. M.,1
"16,000",Residential Land,"Salalah, Dhofar",600 Sq. M.,not available
"64,890",Apartment,"Muscat Hills, Muscat",76 Sq. M.,1
"103,000",Apartment,"The Wave (Almouj), Muscat",91 Sq. M.,1
"51,000",Apartment,"Bosher, Muscat",114 Sq. M.,4
"340,000",Villa,"Sultan Haitham City, Muscat",388 Sq. M.,4
"59,000",Villa,"Barka, Al Batinah",300 Sq. M.,4
"349,549",Villa,"Sultan Haitham City, Muscat",388 Sq. M.,4
"100,000",Villa,"Barka, Al Batinah",600 Sq. M.,3
"110,000",Apartment,"The Wave (Almouj), Muscat",95 Sq. M.,1
"220,000",Chalet,"Barka, Al Batinah","1,214 Sq. M.",4
"23,300",Residential Land,"Barka, Al Batinah",600 Sq. M.,not available
"65,000",Villa,"Al Maabilah, Muscat",600 Sq. M.,4
"90,000",Villa,"Al Maabilah, Muscat",300 Sq. M.,7
"120,000",Residential Land,"Al Maabilah, Muscat",400 Sq. M.,not available
"200,000",Villa,"Salalah, Dhofar",141 Sq. M.,2
"256,540",Villa,"Salalah, Dhofar",181 Sq. M.,3
"47,000",Apartment,"Muscat Hills, Muscat",49 Sq. M.,not available
"82,000",Apartment,"Al Sifah, Muscat",110 Sq. M.,2
"95,000",Apartment,"Muscat Hills, Muscat",142 Sq. M.,2
"180,000",Apartment,"The Wave (Almouj), Muscat",133 Sq. M.,2
"104,525",Villa,"Salalah, Dhofar",79 Sq. M.,1
"65,000",Villa,"Al Seeb, Muscat",600 Sq. M.,4
"108,000",Villa,"Al Mawaleh, Muscat",240 Sq. M.,4
"419,000",Villa,"Madinat As Sultan Qaboos, Muscat",720 Sq. M.,5
"20,900",Apartment,"Al Maabilah, Muscat",84 Sq. M.,2
"7,500",Residential Land,"Al Khaboura, Al Batinah","1,248 Sq. M.",not available
"77,000",Apartment,"The Wave (Almouj), Muscat",107 Sq. M.,1
"45,700",Apartment,"Ghala, Muscat",91 Sq. M.,1
"1,400,000",Villa,"Al Sifah, Muscat","2,242 Sq. M.",5
"57,000",Apartment,"Al Hail, Muscat",84 Sq. M.,2
"340,000",Residential Land,"Bosher, Muscat","1,500 Sq. M.",not available
"220,000",Chalet,"Al Sifah, Muscat",177 Sq. M.,3
"225,000",Apartment,"The Wave (Almouj), Muscat",157 Sq. M.,2
